Farmers Market Name,Additional Information,Street Address,Street Address Edit,Borough,State,Zip Code,Latitude,Longitude
Brownsville Youthmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org/youthmarket",Rockaway & Livonia Aves,,Brooklyn,NY,11212,41,-74
Bushwick Farmers' Market I,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://ecostationny.org/",Linden St & Broadway,,Brooklyn,NY,11221,41,-74
Bushwick Farmers' Market II at Maria Hernandez Park,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://ecostationny.org/",Knickerbocker Ave & Starr St,,Brooklyn,NY,11237,41,-74
Bushwick Farmers' Market III,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://ecostationny.org/",Halsey St & Broadway,,Brooklyn,NY,11233,41,-74
Carroll Gardens Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Carroll St bet Court & Smith Sts,,Brooklyn,NY,11231,41,-74
Cooper Park's Down to Earth Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.communitymarkets.biz",Maspeth Ave ,,Brooklyn,NY,11211,41,-74
Cortelyou Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Cortelyou Rd bet Argyle & Rugby Rds,,Brooklyn,NY,11226,41,-74
Cypress Hills Youthmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org/youthmarket",Fulton St bet Richmond & Logan Sts,,Brooklyn,NY,11208,41,-74
East New York Farm Stand,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15",New Lots Ave bet Alabama & Georgia Aves,,Brooklyn,NY,11207,41,-74
East New York Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=15",Schenck Ave bet New Lots & Livonia Aves,,Brooklyn,NY,11207,41,-74
Flatbush Caton Merchants Mart Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,794-814 Flatbush Ave at Caton Ave,,Brooklyn,NY,11226,41,-74
Fort Greene Park Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Washington Park bet DeKalb & Willoughby Aves,,Brooklyn,NY,11205,41,-74
Graham Avenue Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://grahamavenuebid.net/event/farmers-market-returns-to-cook-st-2",Cook St at Graham Ave,,Brooklyn,NY,11206,41,-74
Grand Army Plaza Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Prospect Park W & Flatbush Ave,,Brooklyn,NY,11225,41,-74
Greenpoint/ McCarren Park Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Union Ave bet Driggs Ave & N 12th St,,Brooklyn,NY,11222,41,-74
Harvest Home Coney Island Hospital Farmers Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.harvesthomefm.org",Ocean Pkwy bet Ave Z & Shore Pkwy,,Brooklyn,NY,11223,41,-74
Harvest Home Lutheran Hospital Farmers Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.harvesthomefm.org","55th St off 2nd Ave, inside gate",,Brooklyn,NY,11220,41,-74
Hattie Carthan After Church Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.hattiecarthancommunitymarket.com/",49 Van Buren St bet Tompkins & Throop Aves,,Brooklyn,NY,11216,41,-74
Hattie Carthan Community Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.hattiecarthancommunitymarket.com/",Marcy Ave & Clifton Pl,,Brooklyn,NY,11216,41,-74
High School for Public Service Youth Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://hspsfarm.blogspot.com/p/market.html",600 Kingston Ave bet Rutland Rd & Winthrop St,,Brooklyn,NY,11203,41,-74
Kensington Youthmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org/youthmarket",Ft. Hamilton Pkwy bet E 4th & E 5th Sts,,Brooklyn,NY,11218,41,-74
Malcolm X Blvd Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.brooklynrescuemission.org/Pages/farmstand.aspx",Malcolm X Blvd bet Marion & Chauncey Sts,,Brooklyn,NY,11233,41,-74
McGolrick Park Farmers' Market,"
Program Website: http://www.communitymarkets.biz",Russel St & Nassau Ave,,Brooklyn,NY,11222,41,-74
Myrtle Avenue Community-Run Farm Stand,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.myrtleavenue.org/blog/index.cfm/2011/6/29/Myrtle-Avenue-Communityrun-Farm-Stand-OPENS-July-5th",Myrtle & N Portland Aves,,Brooklyn,NY,11201,41,-74
Park Slope's Down to Earth Farmers' Market,"
Program Website: http://www.communitymarkets.biz",5th Ave,,Brooklyn,NY,11215,41,-74
Red Hook Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.added-value.org/the-farmers-market","Columbia & Beard Sts, across from IKEA",,Brooklyn,NY,11231,41,-74
Sunset Park Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",4th Ave bet 59th & 60th Sts,,Brooklyn,NY,11220,41,-74
The Foodshed Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://foodshedmarket.com/",388 Atlantic Ave bet Bond & Hoyt Sts,,Brooklyn,NY,11217,41,-74
Urban Oasis Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,Clarkson & Troy Aves,,Brooklyn,NY,11203,41,-74
Walt L Shamel Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"Dean St bet Franklin & Bedford Aves, at Walt L Shamel Garden",,Brooklyn,NY,11216,41,-74
Weeksville Farmers' Market,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://http://www.weeksvillesociety.org/oasis-2010/farm_01.html",Bergen St bet Buffalo & Rochester Aves,,Brooklyn,NY,11213,41,-74
Williamsburg Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Havemeyer St bet Broadway & Division Ave,,Brooklyn,NY,11211,41,-74
Windsor Terrace - PS 154 Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",11th Ave bet Sherman St & Windsor Pl,,Brooklyn,NY,11215,41,-74
125th Street Fresh Connect Farmers' Market,Spend $5 in EBT and get a $2 Health Buck coupon.,"State Office Building, W 125th St & Adam Clayton Powell Blvd",,Manhattan,NY,10027,41,-74
57th Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",W 57th St & 9th Ave,,Manhattan,NY,10019,41,-74
79th Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",Columbus Ave bet W 78th & 81st Sts,,Manhattan,NY,10024,41,-74
82nd Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",82nd St bet 1st and York Aves,,Manhattan,NY,10028,41,-74
92nd Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",1st Ave bet 92nd & 93rd Sts,,Manhattan,NY,10128,41,-74
97th Street Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",W 97th St bet Columbus & Amsterdam Aves,,Manhattan,NY,10025,41,-74
Abingdon Square Greenmarket,"Spend $5 in EBT and get a $2 Health Buck coupon.

Program Website: http://www.grownyc.org.",W 12th St & 8th Ave,,Manhattan,NY,10014,41,-74
Harlem Harvest Farmers' Market,,112th St & Madison Ave,,Manhattan,NY,10029,41,-74
