['875 WILLIAMS AVENUE', 'BROOKLYN', {u'lat': 40.6540083, u'lng': -73.89484470000001}]
['314 PACIFIC STREET', 'BROOKLYN', {u'lat': 40.6872842, u'lng': -73.98854519999999}]
['500 MACON STREET', 'BROOKLYN', {u'lat': 40.6830545, u'lng': -73.9304417}]
['101 PARK AVENUE', 'BROOKLYN', {u'lat': 40.6967378, u'lng': -73.9760388}]
['62 PARK PLACE', 'BROOKLYN', {u'lat': 40.6788089, u'lng': -73.9767367}]
['800 GATES AVENUE', 'BROOKLYN', {u'lat': 40.6880664, u'lng': -73.93267689999999}]
['133 EAST  53 STREET', 'BROOKLYN', {u'lat': 40.6569262, u'lng': -73.9279985}]
['1957 NOSTRAND AVENUE', 'BROOKLYN', {u'lat': 40.637666, u'lng': -73.947676}]
['101-24 SEAVIEW AVENUE', 'BROOKLYN', {u'lat': 40.6263338, u'lng': -73.90058640000001}]
['923 JEROME STREET', 'BROOKLYN', {u'lat': 40.6578673, u'lng': -73.879289}]
['800 BUSHWICK AVENUE', 'BROOKLYN', {u'lat': 40.69418599999999, u'lng': -73.928157}]
['1070 EAST  83 STREET', 'BROOKLYN', {u'lat': 40.6340882, u'lng': -73.907939}]
['2529 GERRITSEN AVENUE', 'BROOKLYN', {u'lat': 40.595958, u'lng': -73.92793499999999}]
['1925 STUART STREET', 'BROOKLYN', {u'lat': 40.6069992, u'lng': -73.9395784}]
['1070 EAST 104 STREET', 'BROOKLYN', {u'lat': 40.6441853, u'lng': -73.892678}]
['8787 24 AVENUE', 'BROOKLYN', {u'lat': 40.5943634, u'lng': -73.9939373}]
['180 6 AVENUE', 'BROOKLYN', {u'lat': 40.6765933, u'lng': -73.97775419999999}]
['213 OSBORN STREET', 'BROOKLYN', {u'lat': 40.6670574, u'lng': -73.9077983}]
['5909 BEVERLY ROAD', 'BROOKLYN', {u'lat': 40.647124, u'lng': -73.920543}]
['50 NAVY STREET', 'BROOKLYN', {u'lat': 40.6978131, u'lng': -73.980988}]
['2950 WEST  25 STREET', 'BROOKLYN', {u'lat': 40.5740715, u'lng': -73.991903}]
['900 ST MARKS AVENUE', 'BROOKLYN', {u'lat': 40.6741634, u'lng': -73.9424088}]
['135 SCHENCK AVENUE', 'BROOKLYN', {u'lat': 40.6779316, u'lng': -73.8897629}]
['231 PALMETTO STREET', 'BROOKLYN', {u'lat': 40.6953855, u'lng': -73.91577649999999}]
['301 VERMONT STREET', 'BROOKLYN', {u'lat': 40.671887, u'lng': -73.893453}]
['330 18 STREET', 'BROOKLYN', {u'lat': 40.6609886, u'lng': -73.9890264}]
['125 COVERT STREET', 'BROOKLYN', {u'lat': 40.6889123, u'lng': -73.9102637}]
['700 PARK AVENUE', 'BROOKLYN', {u'lat': 40.69755929999999, u'lng': -73.9474958}]
['85 WATKINS STREET', 'BROOKLYN', {u'lat': 40.671004, u'lng': -73.907738}]
['88 WOODBINE STREET', 'BROOKLYN', {u'lat': 40.6909968, u'lng': -73.9178498}]
['344 MONROE STREET', 'BROOKLYN', {u'lat': 40.6861253, u'lng': -73.9447582}]
['350 LINWOOD STREET', 'BROOKLYN', {u'lat': 40.6770363, u'lng': -73.8834076}]
['501 WEST AVENUE', 'BROOKLYN', {u'lat': 40.5824516, u'lng': -73.9731606}]
['344 MONROE STREET', 'BROOKLYN', {u'lat': 40.6861253, u'lng': -73.9447582}]
['970 VERMONT STREET', 'BROOKLYN', {u'lat': 40.655395, u'lng': -73.886104}]
['209 YORK STREET', 'BROOKLYN', {u'lat': 40.7017809, u'lng': -73.98158699999999}]
['616 QUINCY STREET', 'BROOKLYN', {u'lat': 40.6885061, u'lng': -73.9353179}]
['794 MONROE STREET', 'BROOKLYN', {u'lat': 40.6883298, u'lng': -73.92410799999999}]
['590 SHEFFIELD AVENUE', 'BROOKLYN', {u'lat': 40.6623466, u'lng': -73.89445719999999}]
['7103 AVENUE T', 'BROOKLYN', {u'lat': 40.6216163, u'lng': -73.9086769}]
['209 YORK STREET', 'BROOKLYN', {u'lat': 40.7017809, u'lng': -73.98158699999999}]
['2310 GLENWOOD ROAD', 'BROOKLYN', {u'lat': 40.632619, u'lng': -73.95426300000001}]
['750 CLASSON AVENUE', 'BROOKLYN', {u'lat': 40.6742826, u'lng': -73.9603013}]
['800 GATES AVENUE', 'BROOKLYN', {u'lat': 40.6880664, u'lng': -73.93267689999999}]
['101 WALTON STREET', 'BROOKLYN', {u'lat': 40.70351160000001, u'lng': -73.9484126}]
['180 7 AVENUE', 'BROOKLYN', {u'lat': 40.6713197, u'lng': -73.9779245}]
['70 TOMPKINS AVENUE', 'BROOKLYN', {u'lat': 40.69712699999999, u'lng': -73.94666070000001}]
['210 CHESTER STREET', 'BROOKLYN', {u'lat': 40.6661829, u'lng': -73.91126799999999}]
['1800 UTICA AVENUE', 'BROOKLYN', {u'lat': 40.6284393, u'lng': -73.9279257}]
['111 BRISTOL STREET', 'BROOKLYN', {u'lat': 40.6687773, u'lng': -73.9124411}]
['330 ALABAMA AVENUE', 'BROOKLYN', {u'lat': 40.6685356, u'lng': -73.8979392}]
['2929 WEST  30 STREET', 'BROOKLYN', {u'lat': 40.5745976, u'lng': -73.9962757}]
['70 TOMPKINS AVENUE', 'BROOKLYN', {u'lat': 40.69712699999999, u'lng': -73.94666070000001}]
